frame,emotion
0,fear
1,happy
2,sad
3,sad
4,neutral
5,sad
6,neutral
7,fear
8,neutral
9,fear
10,sad
11,sad
12,sad
13,sad
14,fear
15,fear
16,fear
17,neutral
18,neutral
19,fear
20,sad
21,neutral
22,fear
23,fear
24,fear
25,fear
26,neutral
27,neutral
28,neutral
29,neutral
30,neutral
31,neutral
32,neutral
33,neutral
34,happy
35,fear
36,fear
37,sad
38,neutral
39,sad
40,neutral
41,neutral
42,neutral
43,neutral
44,neutral
45,happy
46,neutral
47,neutral
48,angry
49,happy
50,neutral
51,neutral
52,neutral
53,neutral
54,neutral
55,sad
56,neutral
57,neutral
58,neutral
59,sad
60,neutral
61,fear
62,sad
63,neutral
64,neutral
65,neutral
66,sad
67,neutral
68,sad
69,neutral
70,fear
71,fear
72,fear
73,happy
74,sad
75,neutral
76,neutral
77,neutral
78,neutral
79,fear
80,fear
81,neutral
82,neutral
83,sad
84,happy
85,happy
86,sad
87,neutral
88,neutral
89,neutral
90,neutral
91,neutral
92,neutral
93,neutral
94,neutral
95,neutral
96,neutral
97,neutral
98,neutral
99,neutral
100,neutral
101,sad
102,angry
103,neutral
104,angry
105,sad
106,sad
107,sad
108,sad
109,sad
110,sad
111,sad
112,sad
113,sad
114,sad
115,angry
116,angry
117,happy
118,fear
119,happy
